feature,importance
n_rows,0.051230427498904704
n_instances,0.03493849758396101
joint_ent.mean,0.02616142932678011
sd_ratio,0.02294338813463442
w_lambda,0.021517379736818824
n_features,0.020194091957865697
landmark_1nn,0.01993817771363203
eigenvalues.mean,0.01888761700277347
lh_trace,0.016875670372161408
eq_num_attr,0.013996042731978079
